idx,imdb_id,actor
1,tt0114709,Tom Hanks
2,tt0114709,Tim Allen
3,tt0114709,Don Rickles
4,tt0114709,Jim Varney
5,tt0113497,Robin Williams
6,tt0113497,Jonathan Hyde
7,tt0113497,Kirsten Dunst
8,tt0113497,Bradley Pierce
9,tt0113228,Walter Matthau
10,tt0113228,Jack Lemmon
11,tt0113228,Sophia Loren
12,tt0113228,Ann-Margret
13,tt0114885,Whitney Houston
14,tt0114885,Angela Bassett
15,tt0114885,Loretta Devine
16,tt0114885,Lela Rochon
17,tt0113041,Steve Martin
18,tt0113041,Diane Keaton
19,tt0113041,Martin Short
20,tt0113041,Kimberly Williams-Paisley
21,tt0113277,Al Pacino
22,tt0113277,Robert De Niro
23,tt0113277,Val Kilmer
24,tt0113277,Jon Voight
25,tt0114319,Harrison Ford
26,tt0114319,Julia Ormond
27,tt0114319,Greg Kinnear
28,tt0114319,Nancy Marchand
29,tt0112302,Jonathan Taylor Thomas
30,tt0112302,Brad Renfro
31,tt0112302,Eric Schweig
32,tt0112302,Charles Rocket
33,tt0114576,Jean-Claude Van Damme
34,tt0114576,Powers Boothe
35,tt0114576,Raymond J. Barry
36,tt0114576,Whittni Wright
37,tt0113189,Pierce Brosnan
38,tt0113189,Sean Bean
39,tt0113189,Izabella Scorupco
40,tt0113189,Famke Janssen
41,tt0112346,Michael Douglas
42,tt0112346,Annette Bening
43,tt0112346,Martin Sheen
44,tt0112346,Michael J. Fox
45,tt0112896,Leslie Nielsen
46,tt0112896,Peter MacNicol
47,tt0112896,Steven Weber
48,tt0112896,Amy Yasbeck
49,tt0112453,Kevin Bacon
50,tt0112453,Bob Hoskins
51,tt0112453,Bridget Fonda
52,tt0112453,Jim Cummings
53,tt0113987,Anthony Hopkins
54,tt0113987,Joan Allen
55,tt0113987,Powers Boothe
56,tt0113987,Ed Harris
57,tt0112760,Geena Davis
58,tt0112760,Matthew Modine
59,tt0112760,Frank Langella
60,tt0112760,Maury Chaykin
61,tt0112641,Robert De Niro
62,tt0112641,Sharon Stone
63,tt0112641,Joe Pesci
64,tt0112641,James Woods
65,tt0114388,James Fleet
66,tt0114388,Tom Wilkinson
67,tt0114388,Harriet Walter
68,tt0114388,Kate Winslet
69,tt0113101,Sammi Davis
70,tt0113101,Amanda De Cadenet
71,tt0113101,Valeria Golino
72,tt0113101,Madonna
73,tt0112281,Jim Carrey
74,tt0112281,Ian McNeice
75,tt0112281,Simon Callow
76,tt0112281,Maynard Eziashi
77,tt0113845,Wesley Snipes
78,tt0113845,Woody Harrelson
79,tt0113845,Jennifer Lopez
80,tt0113845,Robert Blake
81,tt0113161,John Travolta
82,tt0113161,Gene Hackman
83,tt0113161,Rene Russo
84,tt0113161,Danny DeVito
85,tt0112722,Sigourney Weaver
86,tt0112722,Holly Hunter
87,tt0112722,Dermot Mulroney
88,tt0112722,William McNamara
89,tt0112401,Sylvester Stallone
90,tt0112401,Antonio Banderas
91,tt0112401,Julianne Moore
92,tt0112401,Anatoli Davydov
93,tt0114168,Mary Steenburgen
94,tt0114168,Sean Patrick Flanery
95,tt0114168,Lance Henriksen
96,tt0114168,Jeff Goldblum
97,tt0113627,Nicolas Cage
98,tt0113627,Elisabeth Shue
99,tt0113627,Julian Sands
100,tt0113627,Richard Lewis
101,tt0114057,Laurence Fishburne
102,tt0114057,Irène Jacob
103,tt0114057,Kenneth Branagh
104,tt0114057,Nathaniel Parker
105,tt0114011,Christina Ricci
106,tt0114011,Rosie O'Donnell
107,tt0114011,Thora Birch
108,tt0114011,Melanie Griffith
109,tt0114117,Amanda Root
110,tt0114117,Ciarán Hinds
111,tt0114117,Susan Fleetwood
112,tt0114117,Corin Redgrave
113,tt0115012,Gong Li
114,tt0115012,Baotian Li
115,tt0115012,Xiaoxiao Wang
116,tt0115012,Xuejian Li
117,tt0112792,Michelle Pfeiffer
118,tt0112792,George Dzundza
119,tt0112792,Courtney B. Vance
120,tt0112792,Robin Bartlett
121,tt0114746,Joseph Melito
