actor_id,name
1,7 Year Bitch
2,A.J. Langer
3,Aaron Eckhart
4,Abdel Ahmed Ghili
5,Abdolrahman Bagheri
6,Abraham Benrubi
7,Ad van Kempen
8,Adam Arkin
9,Adam Baldwin
10,Adam Beach
11,Adam Hann-Byrd
12,Adam Rich
13,Adam Sandler
14,Adam Trese
15,Adrian Dunbar
16,Adrian Pasdar
17,Adriana Alexander
18,Adriana Caselotti
19,Adrienne King
20,Adrienne Shelly
21,Aeryk Egan
22,Afshin Khorshid Bakhtiari
23,Agga Olsen
24,Agnes Moorehead
25,Aida Mohammadkhani
26,Aidan Gillen
27,Aidan Pendleton
28,Aidan Quinn
29,Aitana Sánchez-Gijón
30,Ajay Naidu
31,Akbar Kurtha
32,Akim Tamiroff
33,Akio Ôtsuka
34,Akira Takayama
35,Akira Terao
36,Al Franken
37,Al Freeman Jr.
38,Al Michaels
39,Al Pacino
40,Alain Chabat
41,Alain Delon
42,Alain Jouffroy
43,Alain Lathière
44,Alan Alda
45,Alan Arkin
46,Alan Bennett
47,Alan Boyle
48,Alan Cox
49,Alan Cumming
50,Alan Fawcett
51,Alan Ladd
52,Alan Randolph Scott
53,Alan Rickman
54,Alanna Ubach
55,Alannah Ong
56,Albert Brooks
57,Albert Finney
58,Albert Sharpe
59,Alberta Watson
60,Aldo Giuffrè
61,Alec Baldwin
62,Alec Guinness
63,Aleksander Bardini
64,Aleksandr Baluev
65,Aleksandr Kaydanovskiy
66,Aleksandra Vujcic
67,Alessandra Martines
68,Alessandro Nivola
69,Alex D. Linz
70,Alex Jennings
71,Alex McArthur
72,Alex McKenna
73,Alex Meneses
74,Alex Scott
75,Alex Vincent
76,Alex Wiesendanger
77,Alexander Goodwin
78,Alexandra Kyle
79,Alexandra Paul
80,Alexandra Wilson
81,Alexandre Rignault
82,Alexis Arquette
83,Alexis Kirschner
84,Alfre Woodard
85,Alfred Abel
86,Alfred Molina
87,Alice Brady
88,Alice Coulthard
89,Alice Garner
90,Alicia Silverstone
91,Alida Valli
92,Aline Kominsky-Crumb
93,Alisa Freyndlikh
94,Alison Crosbie
95,Alison Doody
96,Alison Elliott
97,Alle Ghadban
98,Allen Covert
99,Allen Cutler
100,Allen Payne
101,Allison Dean
102,Ally Walker
103,Alok Chakravarty
104,Alun Armstrong
105,Alyssa Milano
106,Amanda De Cadenet
107,Amanda Donohoe
108,Amanda Plummer
109,Amanda Root
110,Amanda Wyss
111,Amelia Zapata
112,Ami Almendral
113,Amie Carey
114,Amir AboulEla
115,Amir Farrokh Hashemian
116,Amrish Puri
117,Amy Braverman
118,Amy Brenneman
119,Amy Irving
120,Amy Madigan
121,Amy Monique Waddell
122,Amy Steel
123,Amy Yasbeck
124,Anais Evans
125,Anatoli Davydov
126,Anatoliy Solonitsyn
127,Andie MacDowell
128,Andre Braugher
129,Andrea Corr
130,Andrea Eckert
131,Andrea Martin
132,Andrew Kevin Walker
133,Andrew Knott
134,Andrew Lauer
135,Andrew Robertson
136,Andrew Seear
137,Andrey Khalimon
138,André Christian
139,André Dussollier
140,André Eisermann
141,Andy Comeau
142,Andy Dick
143,Andy Garcia
144,Andy Romano
145,Aneta Corsaut
146,Angel Aviles
147,Angel David
148,Angela Baddeley
149,Angela Bassett
150,Angela Lansbury
151,Angela Means
152,Angelina Jolie
153,Angie Dickinson
154,Angie Everhart
155,Angus Scrimm
156,Anita Dobson
157,Anita Louise
158,Anita Mui
159,Anita Page
160,Anita Pallenberg
161,Anjelica Huston
162,Anki Lidén
163,Ann Dowd
164,Ann Wedgeworth
165,Ann-Margret
166,Anna Borkowska
167,Anna Falchi
168,Anna Karina
169,Anna Paquin
170,Annabella Sciorra
171,Annabeth Gish
172,Anne Archer
173,Anne Bancroft
174,Anne Baxter
175,Anne Brochet
176,Anne Christianson
177,Anne Francis
178,Anne Gaybis
179,Anne Heche
180,Anne Knecht
181,Anne Meara
182,Anne Parillaud
183,Anne Reid
184,Anne Twomey
185,Anne Vernon
186,Anne-Marie Martin
187,Annette Bening
188,Annette Funicello
189,Annette O'Toole
190,Annie Corley
191,Annie Wu
192,Anouk Aimée
193,Anthony 'Treach' Criss
194,Anthony Barrile
195,Anthony Brophy
196,Anthony DeSando
197,Anthony Heald
198,Anthony Higgins
199,Anthony Hopkins
200,Anthony J. Robinow
201,Anthony LaPaglia
202,Anthony Lucero
203,Anthony Michael Hall
204,Anthony Perkins
205,Anthony Quayle
206,Anthony Quinn
207,Antoine Byrne
208,Antoine McLean
209,Anton Glanzelius
210,Antonia Corrigan
211,Antonin Zacpal
212,Antonio Banderas
213,Antonio Petrocelli
214,Antony Sher
215,António Assunção
216,Aoi Nakajima
217,Arabella Field
218,Ari Barak
219,Ariane Schluter
220,Arliss Howard
221,Armand Assante
222,Armin Mueller-Stahl
223,Arnold Fanck
224,Arnold Lucy
225,Arnold Schwarzenegger
226,Arnold Vosloo
227,Art Carney
228,Art Evans
229,Art Malik
230,Arthur Agee
231,Arthur Laurents
232,Arturo de Córdova
233,Ashley Crow
234,Ashley Judd
235,Ashley Olsen
236,Ashley Peldon
237,Asia Argento
238,Assita Ouedraogo
239,Athena Chu
240,Atsuko Tanaka
241,Audie England
242,Audrey Hepburn
243,August Schellenberg
244,Augusta Ciolli
245,Austin O'Brien
246,Avery Brooks
247,Azzedine Alaïa
248,BD Wong
249,Bahare Seddiqi
250,Bai Ling
251,Bam Bam Bigelow
252,Baotian Li
253,Barbara Bates
254,Barbara Bel Geddes
255,Barbara Carrera
256,Barbara Crampton
257,Barbara De Rossi
258,Barbara Harris
259,Barbara Hershey
260,Barbara O'Neil
261,Barbara Sukowa
262,Barbra Streisand
263,Barrie Ingham
264,Barry Corbin
265,Barry Del Sherman
266,Barry Fitzgerald
267,Barry Pepper
268,Basil Rathbone
269,Basil Wallace
270,Beatrice Straight
271,Beau Starr
272,Bebe Neuwirth
273,Bela Lugosi
274,Belinda Bauer
275,Belinda Jarrett
276,Ben Affleck
277,Ben Chaplin
278,Ben Cross
279,Ben Daniels
280,Ben Gazzara
281,Ben Kingsley
282,Ben Niu
283,Ben Shenkman
284,Ben Stiller
285,Bengt Ekerot
286,Benicio Del Toro
287,Benjamin Hendrickson
288,Benoît Magimel
289,Benoît Régent
290,Bentley Mitchum
291,Bernadette Peters
292,Bernhard Wicki
293,Bernice DeLeo
294,Bert Lahr
295,Bess Armstrong
296,Bessie Love
297,Bethany Joy Lenz
298,Betsy Blair
299,Betsy Brantley
300,Betsy Palmer
301,Bette Davis
302,Bette Midler
303,Betty Buckley
304,Betty Lou Gerson
305,Betty Schuurman
306,Beulah Bondi
307,Beverly D'Angelo
308,Bill Baucom
309,Bill Cobbs
310,Bill Cosby
311,Bill Farmer
312,Bill Hunter
313,Bill McKinney
314,Bill Murray
315,Bill Nunn
316,Bill Paterson
317,Bill Paxton
318,Bill Pullman
319,Bill Shirley
320,Bill Thompson
321,Bill Tung
322,Billie Whitelaw
323,Billy Bletcher
324,Billy Bob Thornton
325,Billy Burke
326,Billy Campbell
327,Billy Connolly
328,Billy Crudup
329,Billy Crystal
330,Billy Dee Williams
331,Billy Joel
332,Billy Talbot
333,Billy West
334,Billy Zane
335,Bing Crosby
336,Blair Underwood
337,Blake Boyd
338,Blake Heron
339,Bo Derek
340,Bob Geldof
341,Bob Gunton
342,Bob Hoskins
343,Bob Newhart
344,Bobby Brown
345,Bobby Driscoll
346,Bobby Moat
347,Bobette Audrey
348,Bokeem Woodbine
349,Bonnie Bartlett
350,Bonnie Bedelia
351,Bonnie Hunt
352,Boris Delcevski
353,Boris Karloff
354,Bozhao Wang
355,Brad Dourif
356,Brad Hunt
357,Brad Pitt
358,Brad Renfro
359,Brad Sullivan
360,Bradley Pierce
361,Bradley Whitford
362,Brandon Lee
363,Brawley Nolte
364,Bre Blair
365,Breckin Meyer
366,Brenda Blethyn
367,Brenda Fricker
368,Brendan Fraser
369,Brendan Gleeson
370,Brendan Kelly
371,Brendan Sexton III
372,Brent Hinkley
373,Brent Spiner
374,Brett Harrelson
375,Brian Benben
376,Brian Blessed
377,Brian Bonsall
378,Brian Cox
379,Brian Dennehy
380,Brian Dooley
381,Brian Doyle-Murray
382,Brian Flanagan
383,Brian Kerwin
384,Brian O'Halloran
385,Brian O'Shaughnessy
386,Brian Webber
387,Bridget Fonda
388,Bridgette Wilson-Sampras
389,Brigitte Bardot
390,Brigitte Lin
391,Brittany Boyd
392,Brittany Murphy
393,Brock Pierce
394,Broderick Crawford
395,Bronson Dudley
396,Brooke Adams
397,Brooke Bundy
398,Brooke Xtravaganza
399,Bruce A. Young
400,Bruce Bennett
401,Bruce Boxleitner
402,Bruce Campbell
403,Bruce Davison
404,Bruce Dern
405,Bruce Dinsmore
406,Bruce Greenwood
407,Bruce La Bruce
408,Bruce McCulloch
409,Bruce McGill
410,Bruce Ramsay
411,Bruce Reitherman
412,Bruce Willis
413,Bruno Ganz
414,Bruno Kirby
415,Bryan White
416,Buck Clayton
417,Bud Cort
418,Buddy Ebsen
419,Bug Hall
420,Burgess Meredith
421,Burl Ives
422,Burt Lancaster
423,Burt Reynolds
424,Burt Young
425,Buzz Kilman
426,Byron Mann
427,Börje Ahlstedt
428,C. Aubrey Smith
429,C. Thomas Howell
430,Caerthan Banks
431,Cal Bartlett
432,Cameron Bancroft
433,Cameron Diaz
434,Cameron Finley
435,Campbell Scott
436,Candace Hutson
437,Candice Bergen
438,Candy Clark
439,Cantinflas
440,Carl Reiner
441,Carl Weathers
442,Carla Gugino
