idx,imdb_id,director
1,tt0114709,John Lasseter
2,tt0113497,Joe Johnston
3,tt0113228,Howard Deutch
4,tt0114885,Forest Whitaker
5,tt0113041,Charles Shyer
6,tt0113277,Michael Mann
7,tt0114319,Sydney Pollack
8,tt0112302,Peter Hewitt
9,tt0114576,Peter Hyams
10,tt0113189,Martin Campbell
11,tt0112346,Rob Reiner
12,tt0112896,Mel Brooks
13,tt0112453,Simon Wells
14,tt0113987,Oliver Stone
15,tt0112760,Renny Harlin
16,tt0112641,Martin Scorsese
17,tt0114388,Ang Lee
18,tt0113101,Allison Anders
19,tt0113101,Alexandre Rockwell
20,tt0113101,Robert Rodriguez
21,tt0113101,Quentin Tarantino
22,tt0113101,Chuck Jones
23,tt0112281,Steve Oedekerk
24,tt0113845,Joseph Ruben
25,tt0113161,Barry Sonnenfeld
26,tt0112722,Jon Amiel
27,tt0112401,Richard Donner
28,tt0114168,Victor Salva
29,tt0113627,Mike Figgis
30,tt0114057,Oliver Parker
31,tt0114011,Lesli Linka Glatter
32,tt0114117,Roger Michell
33,tt0115012,Yimou Zhang
34,tt0112792,John N. Smith
35,tt0114746,Terry Gilliam
36,tt0112431,Chris Noonan
37,tt0112818,Tim Robbins
38,tt0113442,Andy Tennant
39,tt0112697,Amy Heckerling
40,tt0112749,Darrell Roodt
41,tt0114279,Richard Loncraine
42,tt0112819,Albert Hughes
43,tt0112819,Allen Hughes
44,tt0114272,Michael Hoffman
45,tt0113855,Paul W.S. Anderson
46,tt0114681,Gus Van Sant
47,tt0113347,Jocelyn Moorhouse
48,tt0114369,David Fincher
49,tt0114148,Mike Gabriel
50,tt0114148,Eric Goldberg
51,tt0114916,Patricia Rozema
52,tt0114814,Bryan Singer
53,tt0113819,Woody Allen
54,tt0110299,Gianni Amelio
55,tt0112499,Holly Goldberg Sloan
56,tt0113158,Ulu Grosbard
57,tt0113321,Jodie Foster
58,tt0110877,Michael Radford
59,tt0110877,Massimo Troisi
60,tt0113419,Frank Oz
61,tt0116260,John Schlesinger
62,tt0113862,Stephen Herek
63,tt0116126,Paris Barclay
64,tt0118002,Bill Bennett
65,tt0115683,Jason Bloom
66,tt0116839,Farhad Mann
67,tt0113149,Josiane Balasko
68,tt0113118,F. Gary Gray
69,tt0116367,Robert Rodriguez
70,tt0113010,Andrew Sipes
71,tt0113537,Noah Baumbach
72,tt0113828,Claude Lelouch
73,tt0115644,Michael Goldenberg
74,tt0115676,Steve Miner
75,tt0114367,Christian Duguay
76,tt0113973,Susanne Ofteringer
77,tt0112744,Sean Penn
78,tt0116731,Brian Gibson
79,tt0112445,Jafar Panahi
80,tt0114660,Gary Fleder
81,tt0112379,Marleen Gorris
82,tt0114039,Tim Reid
83,tt0112365,Philip Haas
84,tt0118158,Ridley Scott
85,tt0116151,Ken Kwapis
86,tt0115697,Penelope Spheeris
87,tt0113972,John Badham
88,tt0117002,Stephen Frears
89,tt0114825,Wes Craven
90,tt0115639,Ted Demme
91,tt0115759,John Woo
92,tt0113403,Kenneth Branagh
93,tt0113247,Mathieu Kassovitz
94,tt0113283,Nick Broomfield
95,tt0115907,Harold Becker
96,tt0115734,Wes Anderson
97,tt0117102,Nick Castle
98,tt0118040,John Dahl
99,tt0116483,Dennis Dugan
100,tt0112579,Clint Eastwood
101,tt0110251,Doris Dörrie
102,tt0117110,Brian Henson
103,tt0117110,David Lane
104,tt0112646,Robert Leacock
105,tt0112573,Mel Gibson
106,tt0075314,Martin Scorsese
107,tt0113326,Stanley Tong
108,tt0115645,Barbet Schroeder
109,tt0112373,Jon Blair
110,tt0115033,Benjamin Ross
111,tt0116606,Eric Schaeffer
112,tt0114536,Andrew Davis
113,tt0106473,John N. Smith
114,tt0103859,Reginald Hudlin
115,tt0109424,Kar-Wai Wong
116,tt0116324,David O. Russell
117,tt0110647,Peter MacDonald
118,tt0114131,Bryan Gordon
119,tt0113451,William Friedkin
120,tt0116130,David S. Ward
121,tt0113756,Dirk Shafer
122,tt0118055,Jon Avnet
123,tt0115685,Mike Nichols
124,tt0112585,Edward Burns
125,tt0112442,Michael Bay
126,tt0112342,Christopher Cain
127,tt0112461,Scott Kalvert
128,tt0112427,Mike Newell
129,tt0109093,Hal Hartley
130,tt0112384,Ron Howard
131,tt0114287,Michael Caton-Jones
132,tt0112288,Abel Ferrara
133,tt0112462,Joel Schumacher
134,tt0061395,Luis Buñuel
135,tt0112495,John Boorman
136,tt0112541,Paul Auster
