director_id,name
1,Abbas Kiarostami
2,Abel Ferrara
3,Adam Resnick
4,Adrian Lyne
5,Agnieszka Holland
6,Agnès Merlet
7,Akira Kurosawa
8,Al Pacino
9,Alain Berliner
10,Alan J. Pakula
11,Alan Jacobs
12,Alan Mehrez
13,Alan Parker
14,Alan Rudolph
15,Alan Shapiro
16,Alan Taylor
17,Alan Zaslove
18,Albert Brooks
19,Albert Hughes
20,Alek Keshishian
21,Alex Cox
22,Alex Proyas
23,Alex Zamm
24,Alexander Payne
25,Alexandre Rockwell
26,Alfonso Arau
27,Alfonso Cuarón
28,Alfred Hitchcock
29,Allan Moyle
30,Allen Hughes
31,Allison Anders
32,Amy Heckerling
33,Andrei Tarkovsky
34,Andrew Bergman
35,Andrew Birkin
36,Andrew Davis
37,Andrew Fleming
38,Andrew Morahan
39,Andrew Niccol
40,Andrew Scheinman
41,Andrew Sipes
42,André Téchiné
43,Andy Cadiff
44,Andy Tennant
45,Andy Wilson
46,Ang Lee
47,Anjelica Huston
48,Annabel Jankel
49,Anne Goursaud
50,Annette Haywood-Carter
51,Anthony Minghella
52,Anthony Waller
53,Antoine Fuqua
54,Antonia Bird
55,Arlene Sanford
56,Arne Glimcher
57,Art Stevens
58,Arthur Davis
59,Arthur Hiller
60,Ate de Jong
61,Atom Egoyan
62,Augusto Caminito
63,Barbet Schroeder
64,Barbra Streisand
65,Barrie Nelson
66,Barry Cook
67,Barry Levinson
68,Barry Sonnenfeld
69,Baz Luhrmann
70,Beeban Kidron
71,Ben Sharpsteen
72,Ben Stiller
73,Benjamin Ross
74,Benoît Jacquot
75,Bernard Rose
76,Bernardo Bertolucci
77,Betty Thomas
78,Bill Bennett
79,Bill Condon
80,Bill Couturié
81,Bill Duke
82,Bill Forsyth
83,Bill Roberts
84,Bille August
85,Billy Bob Thornton
86,Billy Crystal
87,Billy Hopkins
88,Billy Wilder
89,Blake Edwards
90,Boaz Yakin
91,Bob Rafelson
92,Bob Spiers
93,Bobby Farrelly
94,Brad Silberling
95,Brett Leonard
96,Brett Ratner
97,Brett Thompson
98,Brian De Palma
99,Brian Gibson
100,Brian Gilbert
101,Brian Henson
102,Brian Levant
103,Brian Mulroney
104,Brian Sloan
105,Bronwen Hughes
106,Bruce Beresford
107,Bruce La Bruce
108,Bruce Robinson
109,Bruce Sinofsky
110,Bruno Barreto
111,Bryan Gordon
112,Bryan Singer
113,Bryan Spicer
114,Burny Mattinson
115,C.M. Talkington
116,Cameron Crowe
117,Campbell Scott
118,Carl Franklin
119,Carl Prechezer
120,Carl Reiner
