imdbvote,year,runtime,imdb_id,plot,languages,released,title,imdbrating,countries
899658,1995,81,tt0114709,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,['English'],1995-11-22,Toy Story,8.3,['USA']
313267,1995,104,tt0113497,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.","['English', 'French']",1995-12-15,Jumanji,7.0,['USA']
24497,1995,101,tt0113228,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.","['English', 'Italian', 'German']",1995-12-22,Grumpier Old Men,6.7,['USA']
9795,1995,124,tt0114885,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",['English'],1995-12-22,Waiting to Exhale,6.0,['USA']
35060,1995,106,tt0113041,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",['English'],1995-12-08,Father of the Bride Part II,6.1,['USA']
586562,1995,170,tt0113277,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,"['English', 'Spanish']",1995-12-15,Heat,8.2,['USA']
37397,1995,127,tt0114319,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.","['English', 'French']",1995-12-15,Sabrina,6.3,"['Germany', 'USA']"
10023,1995,97,tt0112302,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,['English'],1995-12-22,Tom and Huck,5.5,['USA']
32650,1995,111,tt0114576,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,['English'],1995-12-22,Sudden Death,5.8,['USA']
241003,1995,130,tt0113189,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon.","['English', 'Russian', 'Spanish']",1995-11-17,GoldenEye,7.2,"['UK', 'USA']"
53377,1995,114,tt0112346,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.","['English', 'French', 'Spanish']",1995-11-17,The American President,6.8,['USA']
39346,1995,88,tt0112896,Mel Brooks ' parody of the classic vampire story and its famous film adaptations.,"['English', 'German']",1995-12-22,Dracula: Dead and Loving It,5.9,"['France', 'USA']"
40420,1995,78,tt0112453,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",['English'],1995-12-22,Balto,7.1,"['USA', 'UK']"
29081,1995,192,tt0113987,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.","['English', 'Mandarin', 'Russian']",1996-01-05,Nixon,7.1,['USA']
26427,1995,124,tt0112760,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,['English'],1995-12-22,Cutthroat Island,5.7,"['France', 'Italy', 'Germany', 'USA']"
473378,1995,178,tt0112641,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",['English'],1995-11-22,Casino,8.2,"['USA', 'France']"
104381,1995,136,tt0114388,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.","['English', 'French']",1996-01-26,Sense and Sensibility,7.6,"['USA', 'UK']"
99144,1995,98,tt0113101,Four interlocking tales that take place in a fading hotel on New Year's Eve.,['English'],1995-12-25,Four Rooms,6.8,['USA']
204373,1995,90,tt0112281,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",['English'],1995-11-10,Ace Ventura: When Nature Calls,6.4,['USA']
39208,1995,110,tt0113845,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",['English'],1995-11-22,Money Train,5.7,['USA']
76690,1995,105,tt0113161,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",['English'],1995-10-20,Get Shorty,6.9,['USA']
55341,1995,123,tt0112722,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,['English'],1995-10-27,Copycat,6.6,['USA']
78272,1995,132,tt0112401,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,"['English', 'Dutch', 'Spanish']",1995-10-06,Assassins,6.4,"['France', 'USA']"
28709,1995,111,tt0114168,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,['English'],1995-10-27,Powder,6.6,['USA']
115805,1995,111,tt0113627,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","['English', 'Russian']",1996-02-09,Leaving Las Vegas,7.5,['USA']
